descriptions,General,User,gabras
,General,DateTime,2016-03-04 13:04:07
,General,Origin,
,General,Description,
,Recording,StartCondition,None (Save Displayed Data)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,0.979870705
,Measurement,StartTimestamp,3.185692543
,Measurement,StopTimestamp,4.165563248

trace_size,50
trace_types,5,4,4
trace_names,,Out1,Enc delta position
trace_units,,,
devices,Platform,Platform,Platform
raster,HostService,HostService,HostService
description,,,
displayidentifier,,,
path,,Model Root/SinGenerator,Model Root/enc I//F/DS1104ENC_POS_C1
flags,,2,2
min,,-1.797693135e+308,-1.797693135e+308
max,,1.797693135e+308,1.797693135e+308
minWeak,,-1.797693135e+308,-1.797693135e+308
maxWeak,,1.797693135e+308,1.797693135e+308
trace_values,0.019997077942266017,5.5258291843053406,0
,0.039994457750001988,7.0715057870296256,0
,0.059991837557737959,8.335263769439889,0
,0.07998921736547393,9.2667210888189047,0
,0.09998629530774128,9.8287434812100987,0
,0.11998367511547725,9.9989248874030761,0
,0.13998105492321322,9.7704807117683963,0
,0.15997843473094875,9.1525183026799262,0
,0.17997551267321654,8.1696738713065216,0
,0.19997289248095251,6.8611303235917278,0
,0.21997027228868804,5.2790551614270829,0
,0.23996765209642401,3.4865207289834825,0
,0.2599647300386918,1.5549897174266949,0
,0.27996210984642733,-0.43853382709235933,0
,0.2999594896541633,-2.4145744117989478,0
,0.31995686946189927,-4.2943535343547623,0
,0.33995394740416662,-6.0029303331108359,0
,0.35995132721190259,-7.4721892428140579,0
,0.37994870701963857,-8.643555547266228,0
,0.39994608682737454,-9.4703305683753172,0
,0.41994316476964189,-9.9195533950791326,0
,0.43994054457737786,-9.9733149308746523,0
,0.45993792438511383,-9.6294718729908464,0
,0.47993530419284935,-8.901732159092111,0
,0.49993238213511715,-7.8191084750431408,0
,0.51992976194285312,-6.4247616107295276,0
,0.53992714175058865,-4.7742797754906059,0
,0.55992452155832462,-2.9334624717299409,0
,0.57992159950059241,-0.97569727628070868,0
,0.59991897930832838,1.0209658905652184,0
,0.61991635911606391,2.9769263692162951,0
,0.63991373892379988,4.8142061877443112,0
,0.65991081686606767,6.4595587977029592,0
,0.6799081966738032,7.8473891826959266,0
,0.69990557648153917,8.9223689248329077,0
,0.71990295628927514,9.6416419741039956,0
,0.73990003423154249,9.9765331838336699,0
,0.75989741403927846,9.9136914982920246,0
,0.77989479384701443,9.4556222171791369,0
,0.7998921736547504,8.6205871172128141,0
,0.81988955346248593,7.4418764127105668,0
,0.8398869332702219,5.966481579830436,0
,0.85988461494342605,4.2532219546986116,0
,0.8798822966166302,2.3703997920528179,0
,0.89987997828983435,0.39307726990983233,0
,0.91987735809756987,-1.5999160025754722,0
,0.93987503977077402,-3.5291256728293385,0
,0.95987272144397817,-5.3176402393245015,0
,0.9798701012517137,-6.8941572702472387,0
,0.99986778292491785,-8.1958260065899644,0

